time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1744076100000000,79775.99,80483.88,79775.11,80323.98,54.78443,1744076399999999,4394242.9118319,4388,40.00919,3209559.623297,0,2025-04-08 01:35:00
1744076400000000,80327.99,80519.99,80296.01,80390.0,28.56273,1744076699999999,2297930.1099776,1919,19.32016,1554482.4461364,0,2025-04-08 01:40:00
1744076700000000,80392.01,80449.96,80168.02,80296.2,33.52965,1744076999999999,2692122.3864399,1707,18.1286,1455566.3501958,0,2025-04-08 01:45:00
1744077000000000,80299.99,80642.0,80299.99,80590.17,31.83481,1744077299999999,2563991.1599358,2081,21.15966,1704125.2200435,0,2025-04-08 01:50:00
1744077300000000,80585.16,80772.94,80563.9,80572.01,52.25908,1744077599999999,4216607.1589716,2319,25.57839,2063933.1397288,0,2025-04-08 01:55:00
1744077600000000,80572.01,80659.74,80385.87,80387.79,19.24123,1744077899999999,1549549.5803338,1485,9.93436,800140.4777835,0,2025-04-08 02:00:00
1744077900000000,80387.8,80817.18,80368.01,80729.99,128.42788,1744078199999999,10369066.698459,3239,28.09543,2265339.5183231,0,2025-04-08 02:05:00
1744078200000000,80730.0,80842.74,80629.09,80633.19,38.43078,1744078499999999,3103038.4796585,2144,13.04215,1053140.2893909,0,2025-04-08 02:10:00
1744078500000000,80633.19,80681.98,80440.0,80471.99,22.6532,1744078799999999,1824247.8869886,1472,9.69054,780350.8801363,0,2025-04-08 02:15:00
1744078800000000,80472.0,80647.99,80452.69,80480.0,17.78345,1744079099999999,1432454.2750906,1097,9.45433,761493.3540979,0,2025-04-08 02:20:00
1744079100000000,80478.68,80567.99,80420.0,80428.0,11.45429,1744079399999999,921817.8840852,884,5.15245,414672.6768938,0,2025-04-08 02:25:00
1744079400000000,80428.0,80428.0,80300.35,80343.99,11.75391,1744079699999999,944573.4430214,1253,3.83211,307951.1191648,0,2025-04-08 02:30:00
1744079700000000,80340.01,80383.99,80195.62,80283.98,17.24882,1744079999999999,1384255.9646117,1398,4.36063,349945.2878013,0,2025-04-08 02:35:00
1744080000000000,80283.97,80326.37,80160.01,80206.02,16.86312,1744080299999999,1353076.0025978,1095,8.66633,695387.9231593,0,2025-04-08 02:40:00
1744080300000000,80203.93,80250.76,80096.63,80162.0,9.64894,1744080599999999,773213.1317489,1021,4.90406,393017.3212148,0,2025-04-08 02:45:00
1744080600000000,80162.0,80166.76,79932.0,79963.4,23.38002,1744080899999999,1871913.7173585,1672,6.83992,547522.8896925,0,2025-04-08 02:50:00
1744080900000000,79964.02,79982.0,79875.0,79926.0,10.06821,1744081199999999,804609.6074035,929,4.04194,323018.7263761,0,2025-04-08 02:55:00
1744081200000000,79920.01,80099.57,79900.0,80024.01,13.50593,1744081499999999,1080736.6976483,913,8.78349,702772.3415041,0,2025-04-08 03:00:00
1744081500000000,80020.14,80059.99,79895.0,79895.0,10.64578,1744081799999999,851342.0859578,687,2.14187,171280.3900765,0,2025-04-08 03:05:00
1744081800000000,79894.01,79987.62,79856.22,79938.67,11.28109,1744082099999999,901575.0310302,777,6.78909,542515.5602472,0,2025-04-08 03:10:00
1744082100000000,79938.67,79939.98,79798.0,79806.07,11.8747,1744082399999999,948306.5017542,1159,4.7101,376148.9017198,0,2025-04-08 03:15:00
1744082400000000,79806.07,79993.7,79806.07,79969.97,13.59753,1744082699999999,1086601.6182435,863,8.53056,681661.7252726,0,2025-04-08 03:20:00
1744082700000000,79972.19,80157.05,79884.21,80143.99,14.16852,1744082999999999,1133990.929468,1021,9.26103,741110.0905505,0,2025-04-08 03:25:00
1744083000000000,80143.98,80174.51,80008.0,80115.13,16.24736,1744083299999999,1301469.6107174,977,8.25872,661445.6445784,0,2025-04-08 03:30:00
1744083300000000,80108.01,80108.01,79884.01,79958.83,14.73699,1744083599999999,1178502.8042118,906,5.9927,479167.9417916,0,2025-04-08 03:35:00
1744083600000000,79958.82,79958.82,79810.0,79832.62,14.69964,1744083899999999,1174253.7555956,787,2.41975,193305.4550164,0,2025-04-08 03:40:00
1744083900000000,79833.99,79959.99,79810.01,79857.82,9.51115,1744084199999999,759907.2226969,632,5.11774,408933.8071127,0,2025-04-08 03:45:00
1744084200000000,79857.81,79863.45,79735.56,79765.1,9.49915,1744084499999999,757979.328906,764,2.87572,229465.9213068,0,2025-04-08 03:50:00
1744084500000000,79770.0,79877.58,79737.27,79876.04,9.86687,1744084799999999,787336.1763435,621,5.08659,405904.5740861,0,2025-04-08 03:55:00
1744084800000000,79877.59,80020.6,79848.0,79848.08,7.93211,1744085099999999,634217.990414,688,5.12247,409586.2134638,0,2025-04-08 04:00:00
1744085100000000,79848.06,79959.28,79832.0,79953.28,4.43034,1744085399999999,354094.246463,533,3.03538,242605.1515418,0,2025-04-08 04:05:00
1744085400000000,79952.01,80055.35,79952.01,80050.75,7.20036,1744085699999999,576182.0631151,499,4.01565,321306.36182,0,2025-04-08 04:10:00
1744085700000000,80048.01,80097.21,79950.0,80035.98,10.74289,1744085999999999,859649.973519,803,6.60663,528586.4243496,0,2025-04-08 04:15:00
1744086000000000,80035.99,80168.37,80018.0,80122.02,24.81545,1744086299999999,1987851.5749154,1059,6.3153,505793.5638946,0,2025-04-08 04:20:00
